NoteNumber	EmployeeNumber	LocationType	LocationCode	GrossPay	Deductions	NetPay	ActualGrossPay	DesignationCode	Servicetype	EmployeeType	ServiceStatus	CentreCode	TotalPaidDays	LastPayAbsentDays	TotalWorkedDays	isPaid	ActualPaidDays	ActualNet	Arrers	ArrersPaid	EffectiveFrom	EmpDays	SPPEDays	SPPEPdays	WagePaymentNNO	WagePaymentNoteNo	PaymentPeriodDays	DaysAbsent	DayString	RollerBidi	PackerGoodBags	packerGoodBidis	PackerChatBags	PackerChatBidis
200001-EPC-20070201-00001	64	2	1	1195.00	111.00	1084.00	1195.00	57	3	1	4	1	12.18	0.00	11.00	0	12.18	1084.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	14	672000	2	72000
200001-EPC-20070201-00001	3592	2	1	0.00	0.00	0.00	0.00	57	3	1	4	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	0	0	0	0
200001-EPC-20070201-00001	3593	2	1	1195.00	111.00	1084.00	1195.00	57	3	1	4	1	12.18	0.00	11.00	0	12.18	1084.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	14	672000	2	72000
200001-EPC-20070201-00001	6074	2	1	1340.00	124.00	1216.00	1340.00	57	3	1	4	1	13.66	0.00	13.00	0	13.66	1216.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	16	768000	2	72000
200001-EPC-20070201-00001	57969	2	1	0.00	0.00	0.00	0.00	57	3	1	4	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	0	0	0	0
200001-EPC-20070201-00001	63237	2	1	1110.00	103.00	1007.00	1110.00	57	3	1	4	1	11.26	0.00	13.00	0	11.26	1007.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	14	672000	1	36000
200001-EPC-20070201-00001	64164	2	1	1195.00	111.00	1084.00	1195.00	57	3	1	4	1	12.18	0.00	12.00	0	12.18	1084.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	14	672000	2	72000
200001-EPC-20070201-00001	67714	2	1	1185.00	110.00	1075.00	1185.00	57	3	1	4	1	12.00	0.00	11.00	0	12.00	1075.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	15	720000	1	36000
200001-EPC-20070201-00001	69953	2	1	974.00	90.00	884.00	974.00	57	3	1	4	1	9.97	0.00	11.00	0	9.97	884.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	11	528000	2	72000
200001-EPC-20070201-00001	336971	2	1	2536.00	0.00	2536.00	2536.00	57	3	1	2	1	25.85	0.00	13.00	0	25.85	2536.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	30	1440000	4	144000
200001-EPC-20070201-00001	336981	2	1	1708.00	0.00	1708.00	1708.00	57	3	1	2	1	17.35	0.00	13.00	0	17.35	1708.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	21	1008000	2	72000
200001-EPC-20070201-00002	44444	2	3	1760.00	163.00	1597.00	1760.00	57	3	1	4	3	17.72	0.00	16.00	0	17.72	1597.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	22	1056000	2	96000
200001-EPC-20070201-00002	44445	2	3	1615.00	150.00	1465.00	1615.00	57	3	1	4	3	16.25	0.00	19.00	0	16.25	1465.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	21	1008000	1	48000
200001-EPC-20070201-00002	44446	2	3	0.00	0.00	0.00	0.00	57	3	1	4	3	0.00	0.00	0.00	0	0.00	0.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	0	0	0	0
200001-EPC-20070201-00002	44462	2	3	1247.00	116.00	1131.00	1247.00	57	3	1	4	3	12.55	0.00	16.00	0	12.55	1131.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	10	480000	7	336000
200001-EPC-20070201-00002	44531	2	3	1760.00	163.00	1597.00	1760.00	57	3	1	4	3	17.72	0.00	19.00	0	17.72	1597.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	24	1152000	0	0
200001-EPC-20070201-00002	57892	2	3	0.00	0.00	0.00	0.00	57	3	1	4	3	0.00	0.00	0.00	0	0.00	0.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	0	0	0	0
200001-EPC-20070201-00002	57893	2	3	1247.00	116.00	1131.00	1247.00	57	3	1	4	3	12.55	0.00	16.00	0	12.55	1131.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	16	768000	1	48000
200001-EPC-20070201-00002	57895	2	3	1907.00	177.00	1730.00	1907.00	57	3	1	4	3	19.20	0.00	19.00	0	19.20	1730.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	26	1248000	0	0
200001-EPC-20070201-00002	63239	2	3	0.00	0.00	0.00	0.00	57	3	1	4	3	0.00	0.00	0.00	0	0.00	0.00	0.00	0	NULL	31.00	0.00	0.00	NULL	NULL	NULL	0.00	NULL	0	0	0	0	0
