NoteNumber,EmployeeNumber,LocationType,LocationCode,GrossPay,Deductions,NetPay,ActualGrossPay,,Servicetype,EmployeeType,ServiceStatus,CentreCode,TotalPaidDays,,,,,,,,
200001-EPC-20070201-00001,64,2,1,1195,111,1084,1195,,3,1,4,1,12.18,,,,,,,,
200001-EPC-20070201-00001,3592,2,1,0,0,0,0,,3,1,4,1,0,,,,,,,,
200001-EPC-20070201-00001,3593,2,1,1195,111,1084,1195,,3,1,4,1,12.18,,,,,,,,
200001-EPC-20070201-00001,6074,2,1,1340,124,1216,1340,,3,1,4,1,13.66,,,,,,,,
200001-EPC-20070201-00001,57969,2,1,0,0,0,0,,3,1,4,1,0,,,,,,,,
200001-EPC-20070201-00001,63237,2,1,1110,103,1007,1110,,3,1,4,1,11.26,,,,,,,,
200001-EPC-20070201-00001,64164,2,1,1195,111,1084,1195,,3,1,4,1,12.18,,,,,,,,
200001-EPC-20070201-00001,67714,2,1,1185,110,1075,1185,,3,1,4,1,12,,,,,,,,
200001-EPC-20070201-00001,69953,2,1,974,90,884,974,,3,1,4,1,9.97,,,,,,,,
200001-EPC-20070201-00001,336971,2,1,2536,0,2536,2536,,3,1,2,1,25.85,,,,,,,,
200001-EPC-20070201-00001,336981,2,1,1708,0,1708,1708,,3,1,2,1,17.35,,,,,,,,
200001-EPC-20070201-00002,44444,2,3,1760,163,1597,1760,,3,1,4,3,17.72,,,,,,,,
200001-EPC-20070201-00002,44445,2,3,1615,150,1465,1615,,3,1,4,3,16.25,,,,,,,,
200001-EPC-20070201-00002,44446,2,3,0,0,0,0,,3,1,4,3,0,,,,,,,,
200001-EPC-20070201-00002,44462,2,3,1247,116,1131,1247,,3,1,4,3,12.55,,,,,,,,
200001-EPC-20070201-00002,44531,2,3,1760,163,1597,1760,,3,1,4,3,17.72,,,,,,,,
200001-EPC-20070201-00002,57892,2,3,0,0,0,0,,3,1,4,3,0,,,,,,,,
200001-EPC-20070201-00002,57893,2,3,1247,116,1131,1247,,3,1,4,3,12.55,,,,,,,,
200001-EPC-20070201-00002,57895,2,3,1907,177,1730,1907,,3,1,4,3,19.2,,,,,,,,
200001-EPC-20070201-00002,63239,2,3,0,0,0,0,,3,1,4,3,0,,,,,,,,
200001-EPC-20070201-00002,64165,2,3,954,89,865,954,,3,1,4,3,9.6,,,,,,,,
200001-EPC-20070201-00002,72790,2,3,1687,157,1530,1687,,3,1,4,3,16.98,,,,,,,,
200001-EPC-20070201-00002,73409,2,3,1541,143,1398,1541,,3,1,4,3,15.51,,,,,,,,
200001-EPC-20070201-00002,73415,2,3,1782,165,1617,1782,,3,1,4,3,18.09,,,,,,,,
200001-EPC-20070201-00002,337115,2,3,4467,0,4467,4467,,3,1,2,3,31,,,,,,,,
200001-EPC-20070201-00003,38896,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,38900,2,4,2009,186,1823,2009,,3,1,4,4,20.25,,,,,,,,
200001-EPC-20070201-00003,39450,2,4,1872,174,1698,1872,,3,1,4,4,18.95,,,,,,,,
200001-EPC-20070201-00003,39451,2,4,1302,121,1181,1302,,3,1,4,4,13.17,,,,,,,,
200001-EPC-20070201-00003,39453,2,4,2154,200,1954,2154,,3,1,4,4,21.72,,,,,,,,
200001-EPC-20070201-00003,44448,2,4,2154,200,1954,2154,,3,1,4,4,21.72,,,,,,,,
200001-EPC-20070201-00003,44465,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,44468,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,44537,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,57897,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,57976,2,4,761,71,690,761,,3,1,4,4,7.69,,,,,,,,
200001-EPC-20070201-00003,64166,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,64167,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,67732,2,4,0,0,0,0,,3,1,4,4,0,,,,,,,,
200001-EPC-20070201-00003,74778,2,4,2154,0,2154,2154,,3,1,2,4,21.72,,,,,,,,
200001-EPC-20070201-00003,76162,2,4,2274,0,2274,2274,,3,1,2,4,22.89,,,,,,,,
200001-EPC-20070201-00003,76348,2,4,3182,0,3182,3182,,3,1,2,4,31,,,,,,,,
200001-EPC-20070201-00003,330295,2,4,0,0,0,0,,3,1,2,4,0,,,,,,,,
200001-EPC-20070201-00003,332266,2,4,1760,0,1760,1760,,3,1,2,4,17.72,,,,,,,,
200001-EPC-20070201-00003,336982,2,4,2009,0,2009,2009,,3,1,2,4,20.25,,,,,,,,
200001-EPC-20070201-00004,39456,2,5,1155,107,1048,1155,,3,1,4,5,11.63,,,,,,,,
200001-EPC-20070201-00004,44469,2,5,1210,112,1098,1210,,3,1,4,5,12.18,,,,,,,,
200001-EPC-20070201-00004,67733,2,5,0,0,0,0,,3,1,4,5,0,,,,,,,,
200001-EPC-20070201-00004,70158,2,5,0,0,0,0,,3,1,4,5,0,,,,,,,,
200001-EPC-20070201-00004,70159,2,5,0,0,0,0,,3,1,4,5,0,,,,,,,,
200001-EPC-20070201-00004,74830,2,5,826,0,826,826,,3,1,2,5,8.31,,,,,,,,
200001-EPC-20070201-00004,332675,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,334998,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,334999,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335654,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335655,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335656,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335657,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335658,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335659,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335660,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335661,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,336434,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,336969,2,5,769,0,769,769,,3,1,2,5,7.75,,,,,,,,
200001-EPC-20070201-00004,336970,2,5,1430,0,1430,1430,,3,1,2,5,14.4,,,,,,,,
200001-EPC-20070201-00004,337116,2,5,1308,0,1308,1308,,3,1,2,5,13.66,,,,,,,,
200001-EPC-20070201-00004,337117,2,5,440,0,440,440,,3,1,2,5,4.43,,,,,,,,
200001-EPC-20070201-00004,337157,2,5,660,0,660,660,,3,1,2,5,6.65,,,,,,,,
200001-EPC-20070201-00005,44472,2,6,1562,145,1417,1562,,3,1,4,6,15.88,,,,,,,,
200001-EPC-20070201-00005,44473,2,6,0,0,0,0,,3,1,4,6,0,,,,,,,,
200001-EPC-20070201-00005,44474,2,6,1121,104,1017,1121,,3,1,4,6,11.45,,,,,,,,
200001-EPC-20070201-00005,44476,2,6,954,89,865,954,,3,1,4,6,9.6,,,,,,,,
200001-EPC-20070201-00005,44477,2,6,828,77,751,828,,3,1,4,6,8.49,,,,,,,,
200001-EPC-20070201-00005,44582,2,6,1414,131,1283,1414,,3,1,4,6,14.4,,,,,,,,
200001-EPC-20070201-00005,44583,2,6,1562,145,1417,1562,,3,1,4,6,15.88,,,,,,,,
